date,state,location,fuel_type,price_cpl
2026-05-22,QLD,Brisbane,diesel,205.4
2026-05-22,QLD,Brisbane,e10,182.1
2026-05-22,QLD,Brisbane,p95,192.9
2026-05-22,QLD,Brisbane,p98,207.4
2026-05-22,QLD,Brisbane,ulp91,180.7
2026-05-22,WA,Perth,diesel,203.5
2026-05-22,WA,Perth,p95,188.8
2026-05-22,WA,Perth,p98,198.9
2026-05-22,WA,Perth,ulp91,177.8
2026-05-25,QLD,Brisbane,diesel,204.0
2026-05-25,QLD,Brisbane,e10,181.2
2026-05-25,QLD,Brisbane,p95,191.8
2026-05-25,QLD,Brisbane,p98,206.2
2026-05-25,QLD,Brisbane,ulp91,179.8
2026-05-25,WA,Perth,diesel,201.7
2026-05-25,WA,Perth,p95,185.6
2026-05-25,WA,Perth,p98,195.6
2026-05-25,WA,Perth,ulp91,174.5
2026-05-26,QLD,Brisbane,diesel,201.6
2026-05-26,QLD,Brisbane,e10,179.9
2026-05-26,QLD,Brisbane,p98,204.3
2026-05-26,QLD,Brisbane,ulp91,178.5
2026-05-26,VIC,Melbourne,diesel,199.8
2026-05-26,VIC,Melbourne,p98,200.6
2026-05-26,VIC,Melbourne,ulp91,174.8
2026-05-26,WA,Perth,diesel,198.4
2026-05-26,WA,Perth,p95,183.7
2026-05-26,WA,Perth,p98,193.7
2026-05-26,WA,Perth,ulp91,172.7
2026-05-27,QLD,Brisbane,diesel,197.1
2026-05-27,QLD,Brisbane,e10,175.2
2026-05-27,QLD,Brisbane,p95,181.4
2026-05-27,QLD,Brisbane,p98,200.2
2026-05-27,QLD,Brisbane,ulp91,175.1
2026-05-27,VIC,Melbourne,diesel,195.4
2026-05-27,VIC,Melbourne,e10,172.4
2026-05-27,VIC,Melbourne,p98,197.2
2026-05-27,VIC,Melbourne,ulp91,171.6
2026-05-27,WA,Perth,diesel,193.3
2026-05-27,WA,Perth,p95,180.3
2026-05-27,WA,Perth,p98,190.4
2026-05-27,WA,Perth,ulp91,169.3
2026-05-28,QLD,Brisbane,diesel,194.5
2026-05-28,QLD,Brisbane,e10,170.8
2026-05-28,QLD,Brisbane,p95,179.7
2026-05-28,QLD,Brisbane,p98,196.5
2026-05-28,QLD,Brisbane,ulp91,171.0
2026-05-28,VIC,Melbourne,diesel,191.8
2026-05-28,VIC,Melbourne,e10,169.3
2026-05-28,VIC,Melbourne,p95,173.7
2026-05-28,VIC,Melbourne,p98,194.1
2026-05-28,VIC,Melbourne,ulp91,168.1
2026-05-28,WA,Perth,diesel,190.3
2026-05-28,WA,Perth,p95,178.2
2026-05-28,WA,Perth,p98,188.2
2026-05-28,WA,Perth,ulp91,167.1
2026-05-29,QLD,Brisbane,diesel,192.4
2026-05-29,QLD,Brisbane,e10,170.1
2026-05-29,QLD,Brisbane,p95,175.9
2026-05-29,QLD,Brisbane,p98,192.7
2026-05-29,QLD,Brisbane,ulp91,169.8
2026-05-29,VIC,Melbourne,diesel,188.5
2026-05-29,VIC,Melbourne,e10,166.4
2026-05-29,VIC,Melbourne,p95,169.7
2026-05-29,VIC,Melbourne,p98,190.8
2026-05-29,VIC,Melbourne,ulp91,164.9
2026-05-29,WA,Perth,diesel,186.4
2026-05-29,WA,Perth,p95,175.3
2026-05-29,WA,Perth,p98,185.4
2026-05-29,WA,Perth,ulp91,164.3
2026-06-01,QLD,Brisbane,diesel,181.8
2026-06-01,QLD,Brisbane,e10,161.7
2026-06-01,QLD,Brisbane,p95,170.3
2026-06-01,QLD,Brisbane,p98,187.7
2026-06-01,QLD,Brisbane,ulp91,161.1
2026-06-01,VIC,Melbourne,diesel,184.1
2026-06-01,VIC,Melbourne,e10,162.8
2026-06-01,VIC,Melbourne,p95,168.4
2026-06-01,VIC,Melbourne,p98,186.8
2026-06-01,VIC,Melbourne,ulp91,160.9
2026-06-01,WA,Perth,diesel,182.4
2026-06-01,WA,Perth,p95,172.0
2026-06-01,WA,Perth,p98,182.1
2026-06-01,WA,Perth,ulp91,161.0
2026-06-02,QLD,Brisbane,diesel,181.5
2026-06-02,QLD,Brisbane,e10,160.2
2026-06-02,QLD,Brisbane,p95,169.0
2026-06-02,QLD,Brisbane,p98,186.4
2026-06-02,QLD,Brisbane,ulp91,159.6
2026-06-02,VIC,Melbourne,diesel,184.1
2026-06-02,VIC,Melbourne,e10,162.8
2026-06-02,VIC,Melbourne,p95,168.3
2026-06-02,VIC,Melbourne,p98,186.8
2026-06-02,VIC,Melbourne,ulp91,160.9
2026-06-02,WA,Perth,diesel,181.7
2026-06-02,WA,Perth,p95,170.6
2026-06-02,WA,Perth,p98,180.6
2026-06-02,WA,Perth,ulp91,159.5
2026-06-03,QLD,Brisbane,diesel,182.0
2026-06-03,QLD,Brisbane,e10,158.2
2026-06-03,QLD,Brisbane,p95,166.9
2026-06-03,QLD,Brisbane,p98,184.5
2026-06-03,QLD,Brisbane,ulp91,157.6
2026-06-03,VIC,Melbourne,diesel,181.8
2026-06-03,VIC,Melbourne,e10,160.1
2026-06-03,VIC,Melbourne,p95,165.5
2026-06-03,VIC,Melbourne,p98,184.2
2026-06-03,VIC,Melbourne,ulp91,158.3
2026-06-03,WA,Perth,diesel,182.3
2026-06-03,WA,Perth,p95,168.1
2026-06-03,WA,Perth,p98,178.2
2026-06-03,WA,Perth,ulp91,157.1
2026-06-04,WA,Perth,diesel,184.2
2026-06-04,WA,Perth,p95,169.0
2026-06-04,WA,Perth,p98,179.1
2026-06-04,WA,Perth,ulp91,158.0
2026-06-06,QLD,Brisbane,diesel,180.5
2026-06-06,QLD,Brisbane,e10,161.3
2026-06-06,QLD,Brisbane,p95,165.8
2026-06-06,QLD,Brisbane,p98,181.1
2026-06-06,QLD,Brisbane,ulp91,159.9
2026-06-06,VIC,Melbourne,diesel,180.6
2026-06-06,VIC,Melbourne,e10,157.4
2026-06-06,VIC,Melbourne,p95,161.8
2026-06-06,VIC,Melbourne,p98,181.2
2026-06-06,VIC,Melbourne,ulp91,155.1
2026-06-06,WA,Perth,diesel,186.5
2026-06-06,WA,Perth,p95,168.6
2026-06-06,WA,Perth,p98,178.7
2026-06-06,WA,Perth,ulp91,157.6
2026-06-08,QLD,Brisbane,diesel,180.2
2026-06-08,QLD,Brisbane,e10,159.9
2026-06-08,QLD,Brisbane,p95,164.6
2026-06-08,QLD,Brisbane,p98,177.9
2026-06-08,QLD,Brisbane,ulp91,158.4
2026-06-08,VIC,Melbourne,diesel,180.2
2026-06-08,VIC,Melbourne,e10,156.2
2026-06-08,VIC,Melbourne,p95,160.8
2026-06-08,VIC,Melbourne,p98,179.9
2026-06-08,VIC,Melbourne,ulp91,153.8
2026-06-08,WA,Perth,diesel,187.1
2026-06-08,WA,Perth,p95,168.8
2026-06-08,WA,Perth,p98,178.9
2026-06-08,WA,Perth,ulp91,157.8
2026-06-09,QLD,Brisbane,diesel,180.7
2026-06-09,QLD,Brisbane,e10,159.5
